Exposure,Model,OR,95% CI,P-value,N
Sugars,Model 1,1.00,1.00-1.00,0.0000,8006
Sugars,Model 2,1.00,1.00-1.00,0.0000,8006
Sugars,Model 3,1.00,1.00-1.00,0.0000,8006
Fiber,Model 1,0.98,0.98-0.98,0.0000,8006
Fiber,Model 2,0.97,0.97-0.97,0.0000,8006
Fiber,Model 3,0.99,0.99-0.99,0.0000,8006
Vitamin C,Model 1,1.00,1.00-1.00,0.0000,8006
Vitamin C,Model 2,1.00,1.00-1.00,0.0000,8006
Vitamin C,Model 3,1.00,1.00-1.00,0.0000,8006
Calcium,Model 1,1.00,1.00-1.00,0.0000,8006
Calcium,Model 2,1.00,1.00-1.00,0.0000,8006
Calcium,Model 3,1.00,1.00-1.00,0.0000,8006
